"id","FIO","link","PART1","№ OVO","LIST №","AGE","GROUP_AGE","EDUCATION","CRIMINAL","PART2","PART2_corr","POSITION","INCOME_TOTAL","INCOME_FAMILY","INCOME_FAVORITE","LAND_QTY","LAND_SQ","APPARTMENTS_QTY","APPARTMENTS_SQ","APPARTMENTS_QTY_FAMILY","APPARTMENTS_SQ_FAMILY","LAND_QTY_FAMILY","LAND_SQ_FAMILY","AVTO_QTY","AVTO_MARK","AVTO_MODEL","AVTO_YEAR","AVTO_QTY_FAMILY","AVTO_MARK_FAMILY","AVTO_MODEL_FAMILY","AVTO_YEAR_FAMILY","DECLARATION_DONE","GENDER","OTHER_ACTIVES","OTHER_ACTIVES_FAMILY"
335,"Белякін Валерій Юрійович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=335","Комуністична партія України",,90,50,"45+","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","начальник відділу з питань надзвичайних ситуацій та цивільного захисту населення",96801,68617,6,0,0,1,17,1,35,1,400,1,"Kia","CERATO",2012,0,,,0,9/5/2012 22:42,"Ч",0,158000
1827,"Бережна Ірина Григоріївна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1827","Партія регіонів",169,,32,"25-34","вища","відсутня","член Комітету Верховної Ради України з питань правосуддя","член Партії регіонів","народний депутат України",249624,0,6,2,1451,7,0,0,0,0,0,1,"Mercedes",,2006,0,,,0,9/17/2012 12:17,"Ж",0,0
1938,"Бережний Андрій Вікторович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1938","політична партія Всеукраїнське об’єднання ""Батьківщина""",74,,36,"35-44","вища","відсутня","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","інженер юридичного департаменту",480111,44927,6,0,0,0,0,0,0,0,0,0,,,2012,0,,,0,9/18/2012 10:03,"Ч",0,0
1990,"Березін Володимир Борисович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1990","політична партія Всеукраїнське об’єднання ""Батьківщина""",49,,54,"45+","вища","відсутня","безпартійн","безпартійний","штатний журналіст",30000,10800,6,0,0,1,52,1,48,0,0,0,,,2012,0,,,0,9/18/2012 12:43,"Ч",0,0
1732,"Березкін Станіслав Семенович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1732","Партія регіонів",100,,53,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","народний депутат України",290170,128643,6,0,0,1,340,1,340,0,0,1,"Mercedes","Benz S500",2007,1,"Volvo","XC 90",2003,9/16/2012 15:46,"Ч",0,0
263,"Беркут Ігор Віталійович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=263","Політична партія ""Велика Україна""",106,,48,"45+","вища","відсутня","член Політичної партії ""Велика Україна""","член Політичної партії ""Велика Україна""","голова Політичної партії ""Велика Україна""",336960,0,6,1,4998,0,0,0,0,0,0,2,"Mercedes","Gl 450",2007,0,,,0,9/5/2012 16:14,"Ч",0,0
1368,"Бернадська Лілія Віталіївна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1368","Партія регіонів",,172,39,"35-44","вища","відсутня","член Партії регіонів","член Партії регіонів","заступник голови – керівник апарату Хмельницької обласної державної адміністрації",134288,109324,6,2,2119,1,81,2,138,1,12623,1,"Chevrolet","Epica",2008,0,,,0,9/12/2012 12:04,"Ж",24050,0
864,"Бернацький Павло Васильович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=864","Народна Партія",154,,35,"35-44","вища","відсутня","член Народної Партії","член Народної Партії","директор",156150,0,6,0,0,0,0,0,0,0,0,0,,,2012,0,,,0,9/10/2012 10:26,"Ч",0,0
2045,"Беспалов Дмитро Анатолійович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=2045","політична партія Всеукраїнське об’єднання ""Батьківщина""",188,,37,"35-44","вища","відсутня","член політичної партії Всеукраїнське об’єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","директор",84304,51640,6,1,2500,0,0,0,0,0,0,2,"Nissan","Micra",2006,0,,,0,9/18/2012 11:21,"Ч",0,0
111,"Бесяда Іван Михайлович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=111","Самовисування",164,,47,"45+","вища","відсутня","безпартійн","безпартійний","радник голови Тернопільської районної ради",25804,17640,6,0,0,0,0,0,0,0,0,0,,,2012,0,,,0,9/5/2012 11:34,"Ч",500,0
